assetid,assetname
TKMB201203J0,小米8 青春版(二手机/全网通4G/6G+64G/MI 8 LITE/颜色随机)
TKMB201204GT,荣耀畅玩7X(二手机/全网通4G/4GB+32GB/BND-AL10/颜色随机)
TKMB201204RF,OnePlus 8 Pro(全网通5G/12GB+256GB/IN2020/颜色随机)
TKMB201203E5,荣耀畅玩7X(二手机/全网通4G/4GB+32GB/BND-AL10/颜色随机)
TKMB201202JN,三星Galaxy Z Fold2(全网通双模5G/12GB+512GB/SM-F9160/颜色随机)
TKMB201203XL,红米7(二手机/全网通4G/4GB+64GB/REDMI 7/颜色随机)
TKMB201203EY,Y67L(二手机/移动定制全网通版/4G+32G/颜色随机)
TKMB201203XT,小米9 SE（二手机/全网通4G手机/6GB+64GB/MI 9 SE/颜色随机）
TKMB201205F0,Redmi K30(全网通4G/6GB+128GB/颜色随机)
TKMB201205F7,Redmi8A(全网通4G手机/4G+64G/REDMI 8A/颜色随机)
TKMB201203E1,nova 3(二手机/全网通4G/6GB+128GB/PAR-AL00/颜色随机)
TKMB20110327,Note 3(二手机/全网通双4G/3GB+32GB标准版/REDMI NOTE 3/颜色随机)
TKMB20110326,荣耀X10(全网通5G/6GB+128GB/TEL-AN00a/颜色随机)
TKMB201104W7,畅享9 Plus(二手机/全网通4G/4GB+64GB/JKM-AL00A/标配版/颜色随机)
TKMB201103XY,华为 畅享9(二手机/全网通4G/3GB+32GB/DUB-AL00a/颜色随机)
TKMB201103N5,荣耀8(二手机/全网通4G/4GB+64GB/FRD-AL10/颜色随机)
TKMB201103J2,Y71(二手机/移动全网通4G/3GB+64GB/颜色随机）
TKMB2011040A,Redmi K30 至尊纪念版(全网通双模5G/8GB+128GB/M2006J10C/颜色随机)
TKMB20110518,Redmi K30(全网通4G/6GB+128GB/颜色随机)
TKMB20120054,Z5x（二手机/全网通4G/6GB+64GB/V1911A/颜色随机）
TKMB2012009J,X9Plus（二手机/全网通/6GB+64GB/VIVO X9PLUS/颜色随机）
TKMB2012002P,X23幻彩版(二手机/全网通4G/6GB+128GB/V1816A/颜色随机)
TKMB201104L5,X23(二手机/全网通4G/8GB+128GB/V1809A/颜色随机)
TKMB20120043,畅享9(二手机/全网通4G/4GB+128GB/DUB-AL00/颜色随机)
TKMB201104L9,nova 7 (全网通5G/8GB+128GB/JEF-AN00/颜色随机)
TKMB20120021,Y85（二手机/移动全网通4G/4GB+64GB/VIVO Y85/颜色随机）
TKMB20120018,红米Redmi Note7 Pro(二手机/全网通4G/双卡双待/6GB+128GB/颜色随机)
TKMB20120076,x21ia（二手机/全网通4G/6GB+128GB/VIVO X21I A/颜色随机）
TKMB2012005F,Y97(二手机/全网通4G手机/4GB+128GB/双卡双待/V1813A/颜色随机)
TKMB201200W6,红米Redmi Note7（二手机/全网通4G/4GB+64GB/双卡双待/颜色随机）
TKMB20120051,X21A(二手机/全网通4G/6GB+128GB/颜色随机)
TKMB2012002M,A5(二手机/全网通4G/4GB+64GB/PBAM00/颜色随机)
TKMB201104L4,荣耀20 PRO(二手机/全网通4G/8GB+128GB/YAL-AL10/颜色不限）
TKMB201200AJ,nova 6 SE(全网通4G/8GB+128GB/JNY-AL10/颜色随机)
TKMB201103N3,小米8 青春版(二手机/全网通4G/6G+64G/MI 8 LITE/颜色随机)
TKMB201103YM,MAX 2(二手机/全网通4G/4GB+32GB/MI MAX 2/颜色随机）
TKMB201103NT,荣耀30青春版(5G双模/6GB+64GB/MXW-AN00/颜色随机)
TKMB2012000G,Y3标准版（全网通4G/3GB+64GB/V1930A/颜色随机）
TKMB20110359,Redmi K30 Pro(二手机/全网通5G/6GB+128GB/REDMI K30 PRO/颜色随机)
TKMB201103MX,P30 Pro(二手机/全网通4G/8GB+128GB/vog-al00/颜色随机)
TKMB201103ML,X27(全网通4G/8GB+256GB/V1829A/颜色随机)
TKMB201103MT,OPPO A37m (二手机/全网通4G/2GB+16GB/A37M/颜色随机)
TKMB20110400,A3(二手机/全网通4G/4GB+128GB/PADM00/颜色随机)
TKMB20110322,Mate 8(二手机/全网通4G/3GB+32GB/HUAWEI NXT-AL10/颜色随机)
TKMB201200YF,A8(全网通4G/6GB+128GB/PDBM00/颜色随机）
TKMB2012002G,A5(二手机/全网通4G/3GB+64GB/PBBM30/颜色随机)
TKMB2012004T,vivo X9s（二手机/全网通4G/4GB+64GB/VIVO X9S/颜色随机）
TKMB2012004J,Y66（二手机/全网通/3GB+32GB/VIVO Y66/颜色随机）
TKMB2012003G,R9(二手机/全网通4G/4GB+64GB/OPPO R9M/颜色随机)
TKMB20110254,荣耀30 Pro (全网通5G/8GB+128GB/EBG-AN00/颜色随机)
TKMB2011044A,Redmi K20 Pro尊享版(二手机/全网通4G/8GB+128GB/REDMI K20 PRO PREMIUM EDITION/颜色随机)
TKMB201103YP,X7 Plus(二手机/全网通4G/4GB+128GB/VIVO X7PLUS/颜色随机)
TKMB2011031J,nova 7 (全网通5G/8GB+128GB/JEF-AN20/颜色随机)
TKMB201103XX,Y66i(二手机/全网通4G/3GB+32GB/VIVO Y66I A/颜色随机)
TKMB201103MF,nova 4(二手机/全网通4G/8GB+128GB/VCE-AL00/颜色随机)
TKMB201103N7,A3(二手机/全网通4G/4GB+128GB/PADM00/颜色随机)
TKMB201103JY,nova 3e（二手机/全网通/4GB+64GB/双卡双待/ANE-AL00/颜色随机）
TKMB201103MM,R9 plus（二手机/全网通4G/4GB+64GB/OPPO R9 PLUSM A/颜色随机）
TKMB201103NG,A5(二手机/全网通4G/3GB+64GB/PBBM30/颜色随机)
TKMB2011031Y,nova 7 SE (全网通5G/ 8GB+128GB/CDY-AN00/颜色随机)
TKMB201103YF,Y67（二手机/全网通4G/4GB+32GB/VIVO Y67A/颜色随机)
TKMB201103N2,荣耀 畅玩6X(二手机/4GB+64GB/BLN-AL10/颜色随机)
TKMB201103NP,麦芒6(二手机/全网通4G/4GB+64GB/RNE-AL00/颜色随机)
TKMB201103NM,畅享7PLUS(二手机/全网通4G/4GB+64G/TRT-AL00A/颜色随机)
TKMB201103XM,nova 3i（二手机/全网通4G手机/4GB+128GB/INE-AL00/颜色随机）
TKMB2011031G,A91(二手机/全网通4G/8GB+128GB/PCPM00/颜色随机)
TKMB201103Y4,X9s L(二手机/移动全网通版4G/4GB+64GB/VIVO X9S L/颜色随机)
TKMB20110324,荣耀X10(全网通5G/6GB+128GB/TEL-AN00a/颜色随机)
TKMB201103JJ,X20 plus(二手机/全网通4G/4GB+64GB/VIVO X20PLUS A/颜色随机)
