assetid,assetname,location,cloud,dt,batch,epo,remarks
TKMB201001LN,"SAMSUNG SM-J260F （2GB+16GB/国际版）自行采购",b2,teg,"2020-10-27 00:00:00",139,STI202009294119,NULL
TKMB201001LP,"SHARP 706SH （4GB+64GB/美版）自行采购",b2,teg,"2020-10-27 00:00:00",139,STI202009294119,NULL
TKMB201001LR,"SAMSUNG SM-G928S （3GB+32GB/美版）自行采购",b2,teg,"2020-10-27 00:00:00",139,STI202009294119,NULL
TKMB201001LT,"REDMI REDMI 6A （3GB+32GB/印度版）自行采购",b2,teg,"2020-10-27 00:00:00",139,STI202009294119,NULL
TKMB201001LW,"SAMSUNG SM-G928S （3GB+32GB/美版）自行采购",b2,teg,"2020-10-27 00:00:00",139,STI202009294119,NULL
TKMB201001LX,"SONY SOV36 （4GB+64GB/日版）自行采购",b2,teg,"2020-10-27 00:00:00",139,STI202009294119,NULL
TKMB201001LY,"REDMI REDMI NOTE 8T （4GB+64GB/美版）自行采购",b2,teg,"2020-10-27 00:00:00",139,STI202009294119,NULL
TKMB201001M0,"SAMSUNG SM-J260F （2GB+16GB/国际版）自行采购",b2,teg,"2020-10-27 00:00:00",139,STI202009294119,NULL
TKMB201001M1,"NOKIA NOKIA 5.1 PLUS （4GB+64GB/美版）自行采购",b2,teg,"2020-10-27 00:00:00",139,STI202009294119,NULL
TKMB201001M2,"NOKIA NOKIA 5.1 PLUS （4GB+64GB/美版）自行采购",b2,teg,"2020-10-27 00:00:00",139,STI202009294119,NULL
TKMB201001M3,"REDMI REDMI 6 （4GB+64GB/印度版）自行采购",b2,teg,"2020-10-27 00:00:00",139,STI202009294119,NULL
TKMB201001M4,"REDMI REDMI 6 （4GB+64GB/印度版）自行采购",b2,teg,"2020-10-27 00:00:00",139,STI202009294119,NULL
TKMB201001M5,"SAMSUNG SM-J810Y （4GB+64GB/美版）自行采购",b2,teg,"2020-10-27 00:00:00",139,STI202009294119,NULL
TKMB201001M6,"SAMSUNG SM-J810Y （4GB+64GB/美版）自行采购",b2,teg,"2020-10-27 00:00:00",139,STI202009294119,NULL
TKMB201001M7,"SAMSUNG SM-G973F （8GB+128GB/全球版）自行采购",b2,teg,"2020-10-27 00:00:00",139,STI202009294119,NULL
TKMB201001M8,"SAMSUNG SM-G973F （8GB+128GB/全球版）自行采购",b2,teg,"2020-10-27 00:00:00",139,STI202009294119,NULL
TKMB201001M9,"HUAWEI RNE-L22 （2GB+32GB/东南亚版）自行采购",b2,teg,"2020-10-27 00:00:00",139,STI202009294119,NULL
TKMB201001MA,"HUAWEI RNE-L22 （2GB+32GB/东南亚版）自行采购",b2,teg,"2020-10-27 00:00:00",139,STI202009294119,NULL
TKMB201001ME,"HUAWEI EVA-L09 （4GB+64GB/印度版）自行采购",b2,teg,"2020-10-27 00:00:00",139,STI202009294119,NULL
TKMB201001MF,"SAMSUNG SM-T530 （4GB+64GB/美版）自行采购",b2,teg,"2020-10-27 00:00:00",139,STI202009294119,NULL
TKMB201001MG,"SAMSUNG SM-T530 （4GB+64GB/美版）自行采购",b2,teg,"2020-10-27 00:00:00",139,STI202009294119,NULL
TKMB201001MJ,"SAMSUNG SM-G925S （3GB+32GB/美版）自行采购",b2,teg,"2020-10-27 00:00:00",139,STI202009294119,NULL
TKMB201001ML,"SAMSUNG SM-A710F （3GB+32GB/欧版）自行采购",b2,teg,"2020-10-27 00:00:00",139,STI202009294119,NULL
TKMB201001MM,"SAMSUNG SM-A710F （3GB+32GB/欧版）自行采购",b2,teg,"2020-10-27 00:00:00",139,STI202009294119,NULL
TKMB201001MN,"SAMSUNG SM-T580 （4GB+64GB/美版）自行采购",b2,teg,"2020-10-27 00:00:00",139,STI202009294119,NULL
TKMB201001MP,"HUAWEI MAR-LX2 （6GB+128GB/欧版）自行采购",b2,teg,"2020-10-27 00:00:00",139,STI202009294119,NULL
TKMB201001MR,"HUAWEI EVA-L09 （4GB+64GB/印度版）自行采购",b2,teg,"2020-10-27 00:00:00",139,STI202009294119,NULL
TKMB201001MT,"HUAWEI STK-L22 （3GB+32GB/欧版）自行采购",b2,teg,"2020-10-27 00:00:00",139,STI202009294119,NULL
TKMB201001MW,"HUAWEI MAR-LX2 （6GB+128GB/欧版）自行采购",b2,teg,"2020-10-27 00:00:00",139,STI202009294119,NULL
TKMB201001MX,"HUAWEI STK-L22 （3GB+32GB/欧版）自行采购",b2,teg,"2020-10-27 00:00:00",139,STI202009294119,NULL
TKMB201001MY,"SAMSUNG SM-G925S （3GB+32GB/美版）自行采购",b2,teg,"2020-10-27 00:00:00",139,STI202009294119,NULL
TKMB201001N0,"SAMSUNG SM-T580 （4GB+64GB/美版）自行采购",b2,teg,"2020-10-27 00:00:00",139,STI202009294119,NULL
TKMB201001N1,"OPPO OPPO R11S PLUST（6GB+64GB/美版）自行采购",b2,teg,"2020-10-27 00:00:00",139,STI202009294119,NULL
TKMB201001N2,"OPPO OPPO R11S PLUST（6GB+64GB/美版）自行采购",b2,teg,"2020-10-27 00:00:00",139,STI202009294119,NULL
TKMB201001N3,"REDMI REDMI 7 （4GB+64GB/印度版）自行采购",b2,teg,"2020-10-27 00:00:00",139,STI202009294119,NULL
TKMB201001N4,"ASUS ASUS_X00ID (3GB+32GB/台版)自行采购",b2,teg,"2020-10-27 00:00:00",139,STI202009294119,NULL
TKMB201001N5,"ASUS ASUS_X00ID (3GB+32GB/台版)自行采购",b2,teg,"2020-10-27 00:00:00",139,STI202009294119,NULL
TKMB201001N6,"SAMSUNG SM-A105FN （4GB+32GB/美版）自行采购",b2,teg,"2020-10-27 00:00:00",139,STI202009294119,NULL
TKMB201001N7,"SAMSUNG SM-A105FN （4GB+32GB/美版）自行采购",b2,teg,"2020-10-27 00:00:00",139,STI202009294119,NULL
TKMB201001N8,"HUAWEI RNE-L21 （2GB+32GB/欧版）自行采购",b2,teg,"2020-10-27 00:00:00",139,STI202009294119,NULL
TKMB201001N9,"HUAWEI RNE-L21 （2GB+32GB/欧版）自行采购",b2,teg,"2020-10-27 00:00:00",139,STI202009294119,NULL
TKMB201001NA,"SAMSUNG SM-G9250 （3GB+64GB/全球版）自行采购",b2,teg,"2020-10-27 00:00:00",139,STI202009294119,NULL
TKMB201001NE,"REDMI REDMI NOTE 8 （4GB+64GB/德版）自行采购",b2,teg,"2020-10-27 00:00:00",139,STI202009294119,NULL
TKMB201001NF,"ONEPLUSE ONEPLUS A3010 （3GB+128GB/美版）自行采购",b2,teg,"2020-10-27 00:00:00",139,STI202009294119,NULL
TKMB201001NG,"ONEPLUSE ONEPLUS A3010 （3GB+128GB/美版）自行采购",b2,teg,"2020-10-27 00:00:00",139,STI202009294119,NULL
TKMB201001NJ,"SAMSUNG SM-G965F （6GB+128GB/全球版）自行采购",b2,teg,"2020-10-27 00:00:00",139,STI202009294119,NULL
TKMB201001NL,"SAMSUNG SM-G928F （3GB+32GB/美版）自行采购",b2,teg,"2020-10-27 00:00:00",139,STI202009294119,NULL
TKMB201001NM,"SAMSUNG SM-G935F （4GB+64GB/全球版）自行采购",b2,teg,"2020-10-27 00:00:00",139,STI202009294119,NULL
TKMB201001NN,"REDMI REDMI NOTE 5 （4GB+64GB/印度版）自行采购",b2,teg,"2020-10-27 00:00:00",139,STI202009294119,NULL
