公司,资产标签,型号,品牌,类别：,生产厂家,位置,状态
腾讯,TKMB1908013A,"MI 9",XIAOMI,Android,Xiaomi,,"新增 (deployable)"
腾讯,TKMB18010498,"OPPO R11S PLUS",OPPO,Android,OPPO,,"新增 (deployable)"
腾讯,TKMB1907012X,PBAM00,OPPO,Android,OPPO,,"新增 (deployable)"
腾讯,TKMB1803006K,"REDMI 4A",XIAOMI,Android,Xiaomi,A1-线下箱子3,"待上线 (deployable)"
腾讯,TKMB190701F6,"OPPO R9 PLUSTM A",OPPO,Android,OPPO,,"新增 (deployable)"
腾讯,TKMB2005031R,"REDMI 8A",XIAOMI,Android,Xiaomi,,"新增 (deployable)"
腾讯,TKMB1910010A,"OPPO R11S PLUS",OPPO,Android,OPPO,,"新增 (deployable)"
腾讯,TKMB180601RL,SKR-A0,BLACKSHARK,Android,blackshark,,"新增 (deployable)"
腾讯,TKMB200303RT,"VIVO Y83A",VIVO,Android,vivo,,"新增 (deployable)"
腾讯,TKMB19090232,SM-G973U1,SAMSUNG,Android,SAMSUNG,,"新增 (deployable)"
腾讯,TKMB16110A75,"VIVO V3MAX A",VIVO,Android,vivo,,"新增 (deployable)"
腾讯,TKMB1910008E,VCE-AL00,HUAWEI,Android,HUAWEI,B2-G03-0610,"上线 (deployable)"
腾讯,TKMB1706025H,SM-G9500,SAMSUNG,Android,SAMSUNG,,"新增 (deployable)"
腾讯,TKMB1910023G,"OPPO A73T",OPPO,Android,OPPO,,"新增 (deployable)"
腾讯,TKMB2002003M,"iPhoneXS Max",Apple,iOS,Apple,,"新增 (deployable)"
腾讯,TKMB2004060J,"OPPO A37M",OPPO,Android,OPPO,,"新增 (deployable)"
腾讯,TKMB190901W0,SM-A600G,SAMSUNG,Android,SAMSUNG,,"新增 (deployable)"
腾讯,TKMB1806021J,"REDMI 5 PLUS",XIAOMI,Android,Xiaomi,,"新增 (deployable)"
腾讯,TKMB20030367,VCE-AL00,HUAWEI,Android,HUAWEI,,"新增 (deployable)"
腾讯,TKMB200101EG,SM-N9700,SAMSUNG,Android,SAMSUNG,,"新增 (deployable)"
